epoch,raw_data_sleepMat,PulseOximeter_results
1473817342368,9876,108
1473817342388,9878,108
1473817342408,9873,108
1473817342428,9883,108
1473817342448,9894,108
1473817342468,9901,108
1473817342488,9922,108
1473817342508,9953,108
1473817342528,9980,108
1473817342548,9944,108
1473817342568,9898,108
1473817342588,9860,108
1473817342608,9803,108
1473817342628,9790,108
1473817342648,9785,108
1473817342668,9776,108
1473817342688,9755,108
1473817342708,9712,108
1473817342728,9632,108
1473817342748,9537,108
1473817342768,9459,108
1473817342788,9396,108
1473817342808,9340,108
1473817342828,9300,108
1473817342848,9251,108
1473817342868,9210,108
1473817342888,9200,108
1473817342908,9198,108
1473817342928,9232,108
1473817342948,9242,108
1473817342968,9185,108
1473817342988,9104,108
1473817343008,9050,109
1473817343028,9053,109
1473817343048,9062,109
1473817343068,9063,109
1473817343088,9044,109
1473817343108,8980,109
1473817343128,8928,109
1473817343148,8932,109
1473817343168,8948,109
1473817343188,8948,109
1473817343208,8914,109
1473817343228,8858,109
1473817343248,8786,109
1473817343268,8723,109
1473817343288,8682,109
1473817343308,8638,109
1473817343328,8585,109
1473817343348,8594,109
1473817343368,8602,109
1473817343388,8607,109
1473817343408,8614,109
1473817343428,8617,109
1473817343448,8627,109
1473817343468,8611,109
1473817343488,8582,109
1473817343508,8575,109
1473817343528,8584,109
1473817343548,8611,109
1473817343568,8617,109
1473817343588,8614,109
1473817343608,8608,109
1473817343628,8572,109
1473817343648,8552,109
1473817343668,8557,109
1473817343688,8592,109
1473817343708,8607,109
1473817343728,8617,109
1473817343748,8596,109
1473817343768,8527,109
1473817343788,8463,109
1473817343808,8423,109
1473817343828,8398,109
1473817343848,8393,109
1473817343868,8399,109
1473817343888,8382,109
1473817343908,8384,109
1473817343928,8394,109
1473817343948,8416,109
1473817343968,8443,109
1473817343988,8456,109
1473817344008,8459,113
1473817344028,8462,113
1473817344048,8482,113
1473817344068,8519,113
1473817344088,8537,113
1473817344108,8545,113
1473817344128,8538,113
1473817344148,8504,113
1473817344168,8523,113
1473817344188,8567,113
1473817344208,8594,113
1473817344228,8592,113
1473817344248,8588,113
1473817344268,8572,113
1473817344288,8522,113
1473817344308,8495,113
1473817344328,8476,113
1473817344348,8444,113
1473817344368,8452,113
1473817344388,8465,113
1473817344408,8476,113
1473817344428,8491,113
1473817344448,8508,113
1473817344468,8546,113
1473817344488,8558,113
1473817344508,8565,113
1473817344528,8592,113
1473817344548,8679,113
1473817344568,8770,113
1473817344588,8844,113
1473817344608,8904,113
1473817344628,8946,113
1473817344648,8958,113
1473817344668,8986,113
1473817344688,9060,113
1473817344708,9144,113
1473817344728,9217,113
1473817344748,9234,113
1473817344768,9243,113
1473817344788,9232,113
1473817344808,9201,113
1473817344828,9196,113
1473817344848,9184,113
1473817344868,9191,113
1473817344888,9219,113
1473817344908,9242,113
1473817344928,9296,113
1473817344948,9341,113
1473817344968,9368,113
1473817344988,9398,113
1473817345008,9408,114
1473817345028,9415,114
1473817345048,9441,114
1473817345068,9501,114
1473817345088,9552,114
1473817345108,9580,114
1473817345128,9612,114
1473817345148,9627,114
1473817345168,9612,114
1473817345188,9627,114
1473817345208,9668,114
1473817345228,9720,114
1473817345248,9761,114
1473817345268,9740,114
1473817345288,9706,114
1473817345308,9656,114
1473817345328,9605,114
1473817345348,9577,114
1473817345368,9551,114
1473817345388,9559,114
1473817345408,9578,114
1473817345428,9608,114
1473817345448,9652,114
1473817345468,9680,114
1473817345488,9704,114
1473817345508,9717,114
1473817345528,9728,114
1473817345548,9762,114
1473817345568,9808,114
1473817345588,9869,114
1473817345608,9929,114
1473817345628,9960,114
1473817345648,9968,114
1473817345668,9938,114
1473817345688,9928,114
1473817345708,9936,114
1473817345728,9978,114
1473817345748,10082,114
1473817345768,10124,114
1473817345788,10090,114
1473817345808,10058,114
1473817345828,10029,114
1473817345848,10008,114
1473817345868,9982,114
1473817345888,9967,114
1473817345908,9958,114
1473817345928,9964,114
1473817345948,9988,114
1473817345968,10014,114
1473817345988,10026,114
1473817346008,10036,114
1473817346028,10034,114
1473817346048,10023,114
1473817346068,10038,114
1473817346088,10044,114
1473817346108,10083,114
1473817346128,10097,114
1473817346148,10113,114
1473817346168,10092,114
1473817346188,10043,114
1473817346208,10045,114
1473817346228,10041,114
1473817346248,10078,114
1473817346268,10110,114
1473817346288,10095,114
1473817346308,10077,114
1473817346328,10011,114
1473817346348,9930,114
1473817346368,9864,114
1473817346388,9812,114
1473817346408,9776,114
1473817346428,9757,114
1473817346448,9737,114
1473817346468,9738,114
1473817346488,9734,114
1473817346508,9739,114
1473817346528,9745,114
1473817346548,9736,114
1473817346568,9721,114
1473817346588,9704,114
1473817346608,9701,114
1473817346628,9726,114
1473817346648,9749,114
1473817346668,9768,114
1473817346688,9747,114
1473817346708,9700,114
1473817346728,9686,114
1473817346748,9701,114
1473817346768,9742,114
1473817346788,9781,114
1473817346808,9773,114
1473817346828,9775,114
1473817346848,9711,114
1473817346868,9616,114
1473817346888,9549,114
1473817346908,9490,114
1473817346928,9461,114
1473817346948,9433,114
1473817346968,9432,114
1473817346988,9413,114
1473817347008,9387,114
1473817347028,9384,114
1473817347048,9370,114
1473817347068,9353,114
1473817347088,9322,114
1473817347108,9281,114
1473817347128,9278,114
1473817347148,9311,114
1473817347168,9374,114
1473817347188,9438,114
1473817347208,9476,114
1473817347228,9476,114
1473817347248,9464,114
1473817347268,9448,114
1473817347288,9476,114
1473817347308,9488,114
1473817347328,9473,114
1473817347348,9462,114
1473817347368,9416,114
1473817347388,9343,114
1473817347408,9252,114
1473817347428,9184,114
1473817347448,9136,114
1473817347468,9105,114
1473817347488,9082,114
1473817347508,9071,114
1473817347528,9088,114
1473817347548,9108,114
1473817347568,9121,114
1473817347588,9125,114
1473817347608,9123,114
1473817347628,9100,114
1473817347648,9120,114
1473817347668,9149,114
1473817347688,9208,114
1473817347708,9260,114
1473817347728,9300,114
1473817347748,9328,114
1473817347768,9314,114
1473817347788,9312,114
1473817347808,9347,114
1473817347828,9418,114
1473817347848,9482,114
1473817347868,9510,114
1473817347888,9513,114
1473817347908,9482,114
1473817347928,9425,114
1473817347948,9416,114
1473817347968,9403,114
1473817347988,9401,114
1473817348008,9418,114
1473817348028,9425,114
1473817348048,9454,114
1473817348068,9465,114
1473817348088,9456,114
1473817348108,9455,114
1473817348128,9485,114
1473817348148,9497,114
1473817348168,9538,114
1473817348188,9586,114
1473817348208,9616,114
1473817348228,9637,114
1473817348248,9670,114
1473817348268,9690,114
1473817348288,9690,114
1473817348308,9663,114
1473817348328,9662,114
1473817348348,9684,114
1473817348368,9717,114
1473817348388,9762,114
1473817348408,9761,114
1473817348428,9722,114
1473817348448,9644,114
1473817348468,9582,114
1473817348488,9561,114
1473817348508,9551,114
1473817348528,9532,114
1473817348548,9546,114
1473817348568,9562,114
1473817348588,9586,114
1473817348608,9632,114
1473817348628,9660,114
1473817348648,9664,114
1473817348668,9694,114
1473817348688,9728,114
1473817348708,9772,114
1473817348728,9820,114
1473817348748,9864,114
1473817348768,9926,114
1473817348788,9970,114
1473817348808,9994,114
1473817348828,10018,114
1473817348848,10026,114
1473817348868,10050,114
1473817348888,10114,114
1473817348908,10197,114
1473817348928,10273,114
1473817348948,10239,114
1473817348968,10176,114
1473817348988,10128,114
1473817349008,10094,115
1473817349028,10072,115
1473817349048,10041,115
1473817349068,10045,115
1473817349088,10081,115
1473817349108,10093,115
1473817349128,10101,115
1473817349148,10111,115
1473817349168,10120,115
1473817349188,10139,115
1473817349208,10139,115
1473817349228,10143,115
1473817349248,10166,115
1473817349268,10194,115
1473817349288,10228,115
1473817349308,10240,115
1473817349328,10252,115
1473817349348,10245,115
1473817349368,10228,115
1473817349388,10216,115
1473817349408,10216,115
1473817349428,10236,115
1473817349448,10284,115
1473817349468,10286,115
1473817349488,10255,115
1473817349508,10190,115
1473817349528,10111,115
1473817349548,10053,115
1473817349568,9989,115
1473817349588,9952,115
1473817349608,9926,115
1473817349628,9887,115
1473817349648,9830,115
1473817349668,9771,115
1473817349688,9745,115
1473817349708,9747,115
1473817349728,9744,115
1473817349748,9730,115
1473817349768,9687,115
1473817349788,9682,115
1473817349808,9699,115
1473817349828,9715,115
1473817349848,9738,115
1473817349868,9746,115
1473817349888,9742,115
1473817349908,9728,115
1473817349928,9703,115
1473817349948,9714,115
1473817349968,9740,115
1473817349988,9771,115
1473817350008,9783,115
1473817350028,9751,115
1473817350048,9697,115
1473817350068,9614,115
1473817350088,9549,115
1473817350108,9528,115
1473817350128,9495,115
1473817350148,9482,115
1473817350168,9466,115
1473817350188,9440,115
1473817350208,9437,115
1473817350228,9440,115
1473817350248,9451,115
1473817350268,9450,115
1473817350288,9418,115
1473817350308,9392,115
1473817350328,9404,115
1473817350348,9434,115
1473817350368,9453,115
1473817350388,9461,115
1473817350408,9454,115
1473817350428,9427,115
1473817350448,9384,115
1473817350468,9338,115
1473817350488,9336,115
1473817350508,9395,115
1473817350528,9433,115
1473817350548,9440,115
1473817350568,9426,115
1473817350588,9384,115
1473817350608,9331,115
1473817350628,9285,115
1473817350648,9244,115
1473817350668,9199,115
1473817350688,9158,115
1473817350708,9124,115
1473817350728,9107,115
1473817350748,9099,115
1473817350768,9103,115
1473817350788,9121,115
1473817350808,9132,115
1473817350828,9126,115
1473817350848,9097,115
1473817350868,9084,115
1473817350888,9105,115
1473817350908,9128,115
1473817350928,9154,115
1473817350948,9170,115
1473817350968,9168,115
1473817350988,9156,115
1473817351008,9132,115
1473817351028,9120,115
1473817351048,9138,115
1473817351068,9170,115
1473817351088,9201,115
1473817351108,9208,115
1473817351128,9195,115
1473817351148,9148,115
1473817351168,9089,115
1473817351188,9039,115
1473817351208,9001,115
1473817351228,8994,115
1473817351248,8977,115
1473817351268,8972,115
1473817351288,8952,115
1473817351308,8931,115
1473817351328,8954,115
1473817351348,8967,115
1473817351368,8962,115
1473817351388,8948,115
1473817351408,8922,115
1473817351428,8924,115
1473817351448,8958,115
1473817351468,8981,115
1473817351488,9006,115
1473817351508,9005,115
1473817351528,9009,115
1473817351548,8997,115
1473817351568,8972,115
1473817351588,8984,115
1473817351608,9026,115
1473817351628,9080,115
1473817351648,9100,115
1473817351668,9093,115
1473817351688,9072,115
1473817351708,9017,115
1473817351728,8963,115
1473817351748,8943,115
1473817351768,8922,115
1473817351788,8910,115
1473817351808,8903,115
1473817351828,8891,115
1473817351848,8895,115
1473817351868,8898,115
1473817351888,8913,115
1473817351908,8926,115
1473817351928,8909,115
1473817351948,8893,115
1473817351968,8900,115
1473817351988,8928,115
1473817352008,8957,115
1473817352028,8972,115
1473817352048,8992,115
1473817352068,8996,115
1473817352088,8986,115
1473817352108,8956,115
1473817352128,8931,115
1473817352148,8963,115
1473817352168,9006,115
1473817352188,9038,115
1473817352208,9043,115
1473817352228,9010,115
1473817352248,8973,115
